Section,Day,Period,Subject,Teacher
2,Friday,1,Music,Sebastian
2,Friday,2,Geography,Carter
2,Friday,3,Computer Science,Grace
2,Friday,4,Psychology,Jacob
2,Friday,5,Biology,Charlie
2,Friday,6,English,Hannah
2,Friday,7,Physical Education,Henry
2,Friday,8,Biology,William
2,Friday,9,Music,Elijah
3,Monday,1,Physics,Charlotte
3,Monday,2,Chemistry,Charlie
3,Monday,3,Physics,Frank
3,Monday,4,Psychology,Amelia
3,Monday,5,Physics,Carter
3,Monday,6,Biology,William
3,Monday,7,Math,Noah
3,Monday,8,Math,Bob
3,Monday,9,Economics,Aubrey
3,Tuesday,1,Geography,Carter
3,Tuesday,2,Literature,Amelia
3,Tuesday,3,Statistics,Ava
3,Tuesday,4,Chemistry,Aria
3,Tuesday,5,Biology,Charlie
3,Tuesday,6,Statistics,Ava
3,Tuesday,7,Psychology,Amelia
3,Tuesday,8,History,Sebastian
3,Tuesday,9,Chemistry,David
3,Wednesday,1,Statistics,Ava
3,Wednesday,2,Statistics,Harper
3,Wednesday,3,Physical Education,Elijah
3,Wednesday,4,Psychology,Olivia
3,Wednesday,5,Geography,Jackson
3,Wednesday,6,Statistics,Matthew
3,Wednesday,7,Physics,Henry
3,Wednesday,8,Computer Science,Grace
3,Wednesday,9,Physics,David
3,Thursday,1,Art,Gabriel
3,Thursday,2,English,Hannah
3,Thursday,3,Math,Scarlett
3,Thursday,4,Physical Education,Elijah
3,Thursday,5,Math,Aria
3,Thursday,6,History,Jacob
3,Thursday,7,Art,Isabella
3,Thursday,8,Music,Mia
3,Thursday,9,Art,Zoe
3,Friday,1,English,Eve
3,Friday,2,Physical Education,Noah
3,Friday,3,History,Jacob
3,Friday,4,History,Zoe
3,Friday,5,Geography,Frank
3,Friday,6,Literature,Amelia
3,Friday,7,Geography,Carter
3,Friday,8,Physics,Ella
3,Friday,9,Physical Education,Noah
4,Monday,1,Physical Education,Mila
4,Monday,2,Geography,Carter
4,Monday,3,Geography,Daniel
4,Monday,4,English,Jackson
4,Monday,5,Literature,Amelia
4,Monday,6,Economics,Benjamin
4,Monday,7,History,Isabella
4,Monday,8,English,Hannah
4,Monday,9,Economics,Benjamin
4,Tuesday,1,Psychology,Matthew
4,Tuesday,2,Computer Science,Aiden
4,Tuesday,3,Music,Sebastian
4,Tuesday,4,English,Hannah
4,Tuesday,5,Physical Education,Noah
4,Tuesday,6,Art,Harper
4,Tuesday,7,Computer Science,Grace
4,Tuesday,8,Psychology,Matthew
4,Tuesday,9,Psychology,Olivia
4,Wednesday,1,Geography,Jackson
4,Wednesday,2,Geography,Carter
4,Wednesday,3,Physical Education,Elijah
4,Wednesday,4,Economics,Lily
4,Wednesday,5,Biology,Oliver
4,Wednesday,6,Biology,Oliver
4,Wednesday,7,Computer Science,Grace
4,Wednesday,8,Literature,Sophia
4,Wednesday,9,Economics,Liam
4,Thursday,1,Chemistry,David
4,Thursday,2,Physical Education,Riley
4,Thursday,3,Physics,Charlotte
4,Thursday,4,History,Sophia
4,Thursday,5,Literature,Ella
4,Thursday,6,Geography,William
4,Thursday,7,History,Mia
4,Thursday,8,History,Isabella
4,Thursday,9,Physics,Ella
4,Friday,1,Computer Science,Grace
4,Friday,2,Computer Science,Bob
4,Friday,3,History,Sebastian
4,Friday,4,Art,Lucas
4,Friday,5,Physical Education,Elijah
4,Friday,6,Geography,Daniel
4,Friday,7,Computer Science,Aiden
4,Friday,8,Psychology,Matthew
4,Friday,9,Chemistry,Daniel
